facility_id,facility_name,facility_type,ward_name,lga_name,sen_district,state_name,ownership,longitude,latitude,longitude_clean,lon_format,latitude_clean,lat_format,coord_status,duplicate_of,mif_lon,mif_lat,med_officers,nurses_midwives,chews,lab_scientists,pharm_techs,personnel_score,sen_rank,_merge,canonical_lon,canonical_lat,geometry_source,geometry_note
HF00948,Kukrini Primary Health Centre,Primary Health Centre,Uzotsija,Adekeni,Supwasa North,Supwasa State,Public,"9°38'33.6""E","10°56'19.9""N",9.642666666666669,dms,10.93886111111111,dms,ok,,9.64267,10.938854,1.0,1.0,1.0,0.0,0.0,11.6,24.0,both,9.64267,10.938854,mif_consistent_with_register,
HF00985,Hanluko Primary Health Centre,Primary Health Centre,Adesale,ZAMBANI,Supwasa Central,Supwasa State,Public,10.04905,11.212248,10.04905,plain,11.212248,plain,ok,,10.04905,11.212248,2.0,4.0,12.0,2.0,1.0,50.9,23.0,both,10.04905,11.212248,mif_consistent_with_register,
HF00573,Funrayi Primary Health Centre,Primary Health Centre,Adewadu,Dutwano,Tivbetu Central,Tivbetu State,Public,7.630692,11.172943,7.630692,plain,11.172943,plain,ok,,7.630692,11.172943,1.0,4.0,3.0,0.0,0.0,20.4,42.0,both,7.630692,11.172943,mif_consistent_with_register,
HF00512,Oluyota Primary Health Centre,Primary Health Centre,Adetsile,Bauzani,Tivbetu North,Tivbetu State,Public,8.1,10.52,8.1,plain,10.52,plain,ok,,8.10157,10.518407,0.0,0.0,6.0,1.0,1.0,14.8,58.0,both,8.10157,10.518407,mif_consistent_with_register,
HF00003,Sokriba Cottage Hospital,Cottage Hospital,Katzano,Maltsimi,Kukrima North,Kukrima State,Public,6.207094,9.310755,6.207094,plain,9.310755,plain,ok,,6.207094,9.310755,4.0,13.0,14.0,5.0,2.0,94.6,2.0,both,6.207094,9.310755,mif_consistent_with_register,
HF00770,Gwozaba Health Post,Health Post,Uzosawo,Tamluni,Uzojina North,Uzojina State,Public,8.442248,7.967341,8.442248,plain,7.967341,plain,ok,,8.442248,7.967341,0.0,1.0,2.0,0.0,0.0,4.6,83.0,both,8.442248,7.967341,mif_consistent_with_register,
HF00622,Okedushi Health Post,Health Post,Supsani,Daidefa ,Tivbetu Central,Tivbetu State,Public,6.945808,10.924193,6.945808,plain,10.924193,plain,ok,,6.945808,10.924193,0.0,2.0,2.0,0.0,0.0,6.7,54.0,both,6.945808,10.924193,mif_consistent_with_register,
HF00892,Yobludu Health Post,Health Post,Yeldena,Loksayi,Uzojina South,Uzojina State,Public,8.376408,9.003115,8.376408,plain,9.003115,plain,ok,,8.376408,9.003115,1.0,0.0,2.0,0.0,0.0,10.8,58.0,both,8.376408,9.003115,mif_consistent_with_register,
HF00611,Funnufa Health Post,Health Post,Josnata,Ironama,Tivbetu Central,Tivbetu State,Public,7.713948,10.9272,7.713948,plain,10.9272,plain,ok,,7.713948,10.9272,0.0,1.0,0.0,0.0,0.0,2.1,62.0,both,7.713948,10.9272,mif_consistent_with_register,
HF00268,Umuwama Health Post,Health Post,Enunayi,Agbmita,Agbzatu North,Agbzatu State,Private,8.235656,8.049994,8.235656,plain,8.049994,plain,ok,,8.235656,8.049994,0.0,2.0,1.0,0.0,0.0,5.4,80.0,both,8.235656,8.049994,mif_consistent_with_register,
HF00667,Soksharu Primary Health Centre,Primary Health Centre,Sokyowa,Hanjiko,Tivbetu South,Tivbetu State,Public,8.611593,10.999355,8.611593,plain,10.999355,plain,ok,,8.611593,10.999355,0.0,5.0,3.0,0.0,1.0,17.6,55.0,both,8.611593,10.999355,mif_consistent_with_register,
HF00557,Kuklawa Primary Health Centre,Primary Health Centre,Birtima,Soktimi,Tivbetu North,Tivbetu State,Private,7.585153,10.02703,7.585153,plain,10.02703,plain,ok,,7.585153,10.02703,0.0,1.0,3.0,0.0,1.0,9.3,68.0,both,7.585153,10.02703,mif_consistent_with_register,
HF00890,Irowaru Cottage Hospital,Cottage Hospital,Nasrari,Loksayi,Uzojina South,Uzojina State,Public,8.143249,8.751841,8.143249,plain,8.751841,plain,ok,,8.143249,8.751841,1.0,5.0,9.0,2.0,6.0,47.6,11.0,both,8.143249,8.751841,mif_consistent_with_register,
HF00762,Ibamano Health Post,Health Post,Riylale,Tamluni,Uzojina North,Uzojina State,Public,8.397973,7.799525,8.397973,plain,7.799525,plain,ok,,8.397973,7.799525,1.0,2.0,1.0,0.0,0.0,13.7,54.0,both,8.397973,7.799525,mif_consistent_with_register,
HF01107,Hanzano Health Post,Health Post,Agbdeni,Loknaba,Supwasa South,Supwasa State,Public,8.92082,11.504555,8.92082,plain,11.504555,plain,ok,,8.92082,11.504555,1.0,1.0,2.0,1.0,0.0,16.6,33.0,both,8.92082,11.504555,mif_consistent_with_register,
HF00856,Zamduru Primary Health Centre,Primary Health Centre,Wurtimi,Wurkota,Uzojina Central,Uzojina State,Public,8.980323,8.545614,8.980323,plain,8.545614,plain,ok,,8.980323,8.545614,3.0,3.0,4.0,1.0,2.0,46.4,13.0,both,8.980323,8.545614,mif_consistent_with_register,
HF00558,Zammashi Primary Health Centre,Primary Health Centre,Birtima,Soktimi,Tivbetu North,Tivbetu State,Public,7.570048,9.926803,7.570048,plain,9.926803,plain,ok,,,,,,,,,,,left_only,7.570048,9.926803,register,
HF00814,Yelmashi Primary Health Centre,Primary Health Centre,Daideli,Daishali-Central,Uzojina Central,Uzojina State,Public,9.13,8.13,9.13,plain,8.13,plain,ok,,9.130676,8.129522,2.0,1.0,4.0,2.0,0.0,31.1,18.0,both,9.130676,8.129522,mif_consistent_with_register,
HF00438,Joszano Health Post,Health Post,Daijiwa,Agbngoru,Agbzatu South,Agbzatu State,Public,7.398021,8.406092,7.398021,plain,8.406092,plain,ok,,7.398021,8.406092,0.0,1.0,1.0,0.0,0.0,3.4,61.0,both,7.398021,8.406092,mif_consistent_with_register,
HF00054,Uzowasa Health Post,Health Post,Wurjimi,Irolufa ,Kukrima North,Kukrima State,Public,6.110032,9.753453,6.110032,plain,9.753453,plain,ok,,6.110032,9.753453,1.0,2.0,1.0,0.0,0.0,13.7,55.0,both,6.110032,9.753453,mif_consistent_with_register,
HF00507,Yelrili Primary Health Centre,Primary Health Centre,Banluba,Bauzani ,Tivbetu North,Tivbetu State,Private,7.870121,10.361789,7.870121,plain,10.361789,plain,ok,,7.870121,10.361789,0.0,1.0,5.0,1.0,1.0,15.6,55.0,both,7.870121,10.361789,mif_consistent_with_register,
HF01185,Wurdude Cottage Hospital,Cottage Hospital,Iroyori,Yeltili,Agbkeko North,Agbkeko State,Faith-based,9.836989,8.910924,9.836989,plain,8.910924,plain,ok,,9.836989,8.910924,0.0,1.0,8.0,2.0,2.0,26.5,16.0,both,9.836989,8.910924,mif_consistent_with_register,
HF01076,Zamjile Primary Health Centre,Primary Health Centre,Uzojiri,Ekedeta-East,Supwasa South,Supwasa State,Private,9.287224,11.580015,9.287224,plain,11.580015,plain,ok,,,,,,,,,,,left_only,9.287224,11.580015,register,
HF00980,Katkona Health Post,Health Post,Sokdeba,Zambani,Supwasa Central,Supwasa State,Faith-based,,,,missing,,missing,missing_coordinates,,10.029337,11.067283,1.0,2.0,0.0,0.0,0.0,12.4,78.0,both,10.029337,11.067283,mif_only_register_missing,
HF00135,Enubaja Primary Health Centre,Primary Health Centre,Adetidu,Gwolama,Kukrima Central,Kukrima State,Public,6.727273,9.542573,6.727273,plain,9.542573,plain,ok,,,,,,,,,,,left_only,6.727273,9.542573,register,
HF01196,Maljini Primary Health Centre,Primary Health Centre,Kuknayi,Yeltili,Agbkeko North,Agbkeko State,Public,10.180412,9.060246,10.180412,plain,9.060246,plain,ok,,10.180412,9.060246,1.0,3.0,4.0,0.0,1.0,22.9,18.0,both,10.180412,9.060246,mif_consistent_with_register,
HF00521,Naslasa Primary Health Centre,Primary Health Centre,Supbena,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.360091,9.987065,8.360091,plain,9.987065,plain,ok,,8.360091,9.987065,1.0,6.0,0.0,1.0,1.0,27.8,30.0,both,8.360091,9.987065,mif_consistent_with_register,
HF00109,Supmino Primary Health Centre,Primary Health Centre,Katzale,Lokbaru ,Kukrima Central,Kukrima State,Public,6.640567,9.831372,6.640567,plain,9.831372,plain,ok,,6.640567,9.831372,1.0,2.0,4.0,1.0,1.0,24.6,26.0,both,6.640567,9.831372,mif_consistent_with_register,
HF00310,Wurnali Health Post,Health Post,Riyriru,Josduri-South,Agbzatu North,Agbzatu State,Public,,,,missing,,missing,missing_coordinates,,7.457069,7.461288,1.0,2.0,1.0,0.0,0.0,13.7,61.0,both,7.457069,7.461288,mif_only_register_missing,
HF00846,Ngeduli Primary Health Centre,Primary Health Centre,Gwoyowo,Adelaja-North,Uzojina Central,Uzojina State,Private,9.272512,8.539446,9.272512,plain,8.539446,plain,ok,,9.272512,8.539446,1.0,4.0,1.0,0.0,1.0,21.2,32.0,both,9.272512,8.539446,mif_consistent_with_register,
HF00517,Zamjino Primary Health Centre,Primary Health Centre,Nasbayi,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.206622,9.791996,8.206622,plain,9.791996,plain,ok,,8.206622,9.791996,0.0,3.0,7.0,1.0,0.0,18.9,49.0,both,8.206622,9.791996,mif_consistent_with_register,
HF00322,Kadkeni Primary Health Centre,Primary Health Centre,Okeshali,Gwodele-South,Agbzatu North,Agbzatu State,Public,7.959599,7.670939,7.959599,plain,7.670939,plain,ok,,7.959599,7.670939,0.0,2.0,5.0,2.0,0.0,18.1,51.0,both,7.959599,7.670939,mif_consistent_with_register,
HF00123,Tamlatu Health Post,Health Post,Wurdesa,Agbjide,Kukrima Central,Kukrima State,Public,6.821893,9.21825,6.821893,plain,9.21825,plain,ok,,6.821893,9.21825,0.0,0.0,1.0,0.0,0.0,1.3,75.0,both,6.821893,9.21825,mif_consistent_with_register,
HF01155,Ngeshashi Primary Health Centre,Primary Health Centre,Tivdewo,Jostile,Agbkeko North,Agbkeko State,Public,9.908889,9.521433,9.908889,plain,9.521433,plain,ok,,9.908889,9.521433,0.0,2.0,3.0,1.0,0.0,11.8,38.0,both,9.908889,9.521433,mif_consistent_with_register,
HF00454,Irosashi Cottage Hospital,Cottage Hospital,Okelaja,DAISHAKO,Agbzatu South,Agbzatu State,Public,7.583417,8.784474,7.583417,plain,8.784474,plain,ok,,7.583417,8.784474,5.0,3.0,8.0,0.0,4.0,56.5,7.0,both,7.583417,8.784474,mif_consistent_with_register,
HF00804,Hankoyi Cottage Hospital,Cottage Hospital,Uzoyodu,Tamwata-South,Uzojina Central,Uzojina State,Public,10.187914,8.448977,10.187914,plain,8.448977,plain,ok,,10.187914,8.448977,0.0,0.0,5.0,3.0,0.0,17.6,40.0,both,10.187914,8.448977,mif_consistent_with_register,
HF00516,Ekenufa Primary Health Centre,Primary Health Centre,Nasbayi,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.216741,9.757699,8.216741,plain,9.757699,plain,ok,,8.216741,9.757699,0.0,2.0,4.0,1.0,0.0,13.0,62.0,both,8.216741,9.757699,mif_consistent_with_register,
HF00589,Adedeta Health Post,Health Post,Yelzafa,Irongori,Tivbetu Central,Tivbetu State,Private,7.947185,10.823491,7.947185,plain,10.823491,plain,ok,,7.947185,10.823491,0.0,3.0,1.0,1.0,0.0,11.3,50.0,both,7.947185,10.823491,mif_consistent_with_register,
HF00058,Yobyole Comprehensive Health Centre,Comprehensive Health Centre,Kuknuno,Irolufa,Kukrima North,Kukrima State,Private,6.197444,10.015032,6.197444,plain,10.015032,plain,ok,,6.197444,10.015032,5.0,4.0,6.0,2.0,3.0,63.5,6.0,both,6.197444,10.015032,mif_consistent_with_register,
HF01154,Lokkeba Health Post,Health Post,Tivdewo,Jostile,Agbkeko North,Agbkeko State,Public,9.89696,9.515498,9.89696,plain,9.515498,plain,ok,,9.89696,9.515498,0.0,0.0,1.0,0.0,0.0,1.3,57.0,both,9.89696,9.515498,mif_consistent_with_register,
HF00167,Zamlawa Primary Health Centre,Primary Health Centre,Katwama,WURMASHI,Kukrima Central,Kukrima State,Public,7.411483,9.912909,7.411483,plain,9.912909,plain,ok,,7.411483,9.912909,1.0,1.0,3.0,1.0,1.0,21.2,34.0,both,7.411483,9.912909,mif_consistent_with_register,
HF00926,Uzoyori Primary Health Centre,Primary Health Centre,Malshana,Zamberi-North ,Uzojina South,Uzojina State,Public,8.501021,8.659091,8.501021,plain,8.659091,plain,ok,,8.501021,8.659091,2.0,0.0,5.0,1.0,1.0,29.9,26.0,both,8.501021,8.659091,mif_consistent_with_register,
HF00604,Oketsima Cottage Hospital,Cottage Hospital,Shatsiru,Ironama ,Tivbetu Central,Tivbetu State,Public,7.371901,10.666623,7.371901,plain,10.666623,plain,ok,,7.371901,10.666623,0.0,7.0,9.0,2.0,7.0,43.6,12.0,both,7.371901,10.666623,mif_consistent_with_register,
HF00285,Josrashi Primary Health Centre,Primary Health Centre,Daiyole,Malmaba,Agbzatu North,Agbzatu State,Public,7.768586,7.92846,7.768586,plain,7.92846,plain,ok,,7.768586,7.92846,0.0,2.0,5.0,1.0,0.0,14.3,60.0,both,7.768586,7.92846,mif_consistent_with_register,
HF00637,Zamduko Health Post,Health Post,Wurzafa,Joskeru,Tivbetu South,Tivbetu State,Public,8.683102,11.313295,8.683102,plain,11.313295,plain,ok,,8.683102,11.313295,0.0,1.0,1.0,1.0,0.0,7.1,71.0,both,8.683102,11.313295,mif_consistent_with_register,
HF01021,Katkole Primary Health Centre,Primary Health Centre,Kukngole,Funkedu ,Supwasa Central,Supwasa State,Public,10.252351,11.264894,10.252351,plain,11.264894,plain,ok,,,,,,,,,,,left_only,10.252351,11.264894,register,
HF01182,Yelbele Health Post,Health Post,Maljini,Maljiwo,Agbkeko North,Agbkeko State,Public,9.643656,9.264295,9.643656,plain,9.264295,plain,ok,,9.643656,9.264295,0.0,0.0,1.0,0.0,0.0,1.3,57.0,both,9.643656,9.264295,mif_consistent_with_register,
HF00325,Zammano Health Post,Health Post,Tamngoba,Gwodele South,Agbzatu North,Agbzatu State,Faith-based,8.059011,7.773748,8.059011,plain,7.773748,plain,ok,,8.059011,7.773748,0.0,1.0,2.0,0.0,0.0,4.6,85.0,both,8.059011,7.773748,mif_consistent_with_register,
HF00110,Yelshasa Cottage Hospital,Cottage Hospital,Ekebako,Lokbaru ,Kukrima Central,Kukrima State,Public,6.969075,9.906772,6.969075,plain,9.906772,plain,ok,,6.969075,9.906772,3.0,10.0,6.0,0.0,0.0,53.2,5.0,both,6.969075,9.906772,mif_consistent_with_register,
HF01031,Ngenaba Primary Health Centre,Primary Health Centre,Gwonashi,Josmiba,Supwasa Central,Supwasa State,Public,10.480188,10.41212,10.480188,plain,10.41212,plain,ok,,10.480188,10.41212,1.0,6.0,8.0,0.0,3.0,40.9,39.0,both,10.480188,10.41212,mif_consistent_with_register,
HF00132,Ekemaba Primary Health Centre,Primary Health Centre,Funtsiwa,Tambemi,Kukrima Central,Kukrima State,Public,7.162416,9.831472,7.162416,plain,9.831472,plain,ok,,7.162416,9.831472,1.0,4.0,5.0,2.0,1.0,33.8,14.0,both,7.162416,9.831472,mif_consistent_with_register,
HF00618,Funnuma Health Post,Health Post,Daideno,Tivbani,Tivbetu Central,Tivbetu State,Public,7.536192,10.55022,7.536192,plain,10.55022,plain,ok,,7.536192,10.55022,0.0,1.0,2.0,0.0,0.0,4.6,57.0,both,7.536192,10.55022,mif_consistent_with_register,
HF00816,Uzolude Comprehensive Health Centre,Comprehensive Health Centre,Daideli,Daishali-Central,Uzojina Central,Uzojina State,Public,9.012789,8.199683,9.012789,plain,8.199683,plain,ok,,9.012789,8.199683,2.0,8.0,10.0,4.0,0.0,60.9,7.0,both,9.012789,8.199683,mif_consistent_with_register,
HF00040,Agbritu Health Post,Health Post,Uzobele,Riylude North,Kukrima North,Kukrima State,Public,6.511429,9.595088,6.511429,plain,9.595088,plain,ok,,6.511429,9.595088,0.0,1.0,2.0,0.0,0.0,4.6,82.0,both,6.511429,9.595088,mif_consistent_with_register,
HF00760,Ngebefa Primary Health Centre,Primary Health Centre,Riylale,Tamluni LGA,Uzojina North,Uzojina State,Public,8.416999,7.909065,8.416999,plain,7.909065,plain,ok,,8.416999,7.909065,0.0,0.0,4.0,2.0,0.0,12.6,58.0,both,8.416999,7.909065,mif_consistent_with_register,
HF01239,Iromifa General Hospital,General Hospital,Irowani,Hanjile,Agbkeko Central,Agbkeko State,Public,9.834394,9.623763,9.834394,plain,9.623763,plain,ok,,9.834394,9.623763,4.0,29.0,25.0,0.0,4.0,85.0,4.0,both,9.834394,9.623763,mif_consistent_with_register,
HF00060,Ekejiru Cottage Hospital,Cottage Hospital,Nasnuri,Irolufa,Kukrima North,Kukrima State,Public,6.192201,9.933669,6.192201,plain,9.933669,plain,ok,,6.192201,9.933669,4.0,8.0,4.0,1.0,7.0,65.5,5.0,both,6.192201,9.933669,mif_consistent_with_register,
HF00377,Kukshatu Primary Health Centre,Primary Health Centre,Gwomali,Dutzama,Agbzatu Central,Agbzatu State,Public,6.944508,7.725776,6.944508,plain,7.725776,plain,ok,,6.944508,7.725776,0.0,2.0,1.0,2.0,0.0,12.9,55.0,both,6.944508,7.725776,mif_consistent_with_register,
HF00792,Umumifa Primary Health Centre,Primary Health Centre,Gwobako,Nassako-Central,Uzojina North,Uzojina State,Public,8.85898,7.509353,8.85898,plain,7.509353,plain,ok,,8.85898,7.509353,0.0,0.0,5.0,0.0,0.0,6.4,78.0,both,8.85898,7.509353,mif_consistent_with_register,
HF00954,Irongode Primary Health Centre,Primary Health Centre,Riynuna,NASRIFA,Supwasa North,Supwasa State,Public,"9,066455","10,724456",9.066455,comma_decimal,10.724456,comma_decimal,ok,,9.066455,10.724456,0.0,2.0,3.0,1.0,1.0,15.1,20.0,both,9.066455,10.724456,mif_consistent_with_register,
HF00412,Okenadu Primary Health Centre,Primary Health Centre,Zamlani,Iromashi,Agbzatu Central,Agbzatu State,Private,7.093594,8.373692,7.093594,plain,8.373692,plain,ok,,7.093594,8.373692,1.0,5.0,2.0,0.0,1.0,24.5,31.0,both,7.093594,8.373692,mif_consistent_with_register,
HF00878,Baudemi Health Post,Health Post,Wurlutu,OlubaniSouth,Uzojina South,Uzojina State,Public,8.447777,8.411938,8.447777,plain,8.411938,plain,ok,,8.447777,8.411938,0.0,1.0,0.0,0.0,1.0,5.4,69.0,both,8.447777,8.411938,mif_consistent_with_register,
HF01007,Wurkomi Health Post,Health Post,Irozari,Funkedu,Supwasa Central,Supwasa State,Public,10.260593,11.483907,10.260593,plain,11.483907,plain,ok,,10.260593,11.483907,0.0,1.0,0.0,0.0,0.0,2.1,99.0,both,10.260593,11.483907,mif_consistent_with_register,
HF00612,Agbnuni Comprehensive Health Centre,Comprehensive Health Centre,Riyshawa,Ironama LGA,Tivbetu Central,Tivbetu State,Public,7.513699,10.715796,7.513699,plain,10.715796,plain,ok,,7.513699,10.715796,2.0,7.0,6.0,0.0,2.0,45.4,10.0,both,7.513699,10.715796,mif_consistent_with_register,
HF00593,Katnale Health Post,Health Post,Banshako,Irongori,Tivbetu Central,Tivbetu State,Public,7.939329,10.562777,7.939329,plain,10.562777,plain,ok,,7.939329,10.562777,1.0,1.0,1.0,1.0,0.0,15.3,47.0,both,7.939329,10.562777,mif_consistent_with_register,
HF00327,Ibatiwo Health Post,Health Post,Tamngoba,GWODELE-SOUTH,Agbzatu North,Agbzatu State,Public,8.047543,7.748601,8.047543,plain,7.748601,plain,ok,,8.047543,7.748601,0.0,2.0,1.0,0.0,0.0,5.4,80.0,both,8.047543,7.748601,mif_consistent_with_register,
HF00474,Okemama Primary Health Centre,Primary Health Centre,Enuyona,Ngetija,Agbzatu South,Agbzatu State,Public,7.666383,9.058666,7.666383,plain,9.058666,plain,ok,,7.666383,9.058666,1.0,0.0,6.0,0.0,1.0,19.2,36.0,both,7.666383,9.058666,mif_consistent_with_register,
HF00171,Jossaja Primary Health Centre,Primary Health Centre,Riysano,Zamtsiru,Kukrima South,Kukrima State,Public,6.793008,9.99931,6.793008,plain,9.99931,plain,ok,,6.793008,9.99931,0.0,13.0,5.0,0.0,1.0,34.7,28.0,both,6.793008,9.99931,mif_consistent_with_register,
HF00272,Eketide Health Post,Health Post,Katlano,Malmaba,Agbzatu North,Agbzatu State,Public,7.495428,7.999495,7.495428,plain,7.999495,plain,ok,,7.495428,7.999495,0.0,2.0,1.0,0.0,0.0,5.4,80.0,both,7.495428,7.999495,mif_consistent_with_register,
HF00353,Katbako Primary Health Centre,Primary Health Centre,Uzoriyi,Zamkeri,Agbzatu Central,Agbzatu State,Public,6.791232,8.635882,6.791232,plain,8.635882,plain,ok,,6.791232,8.635882,1.0,0.0,8.0,1.0,0.0,22.2,37.0,both,6.791232,8.635882,mif_consistent_with_register,
HF00603,Irojini Primary Health Centre,Primary Health Centre,Shatsiru,Ironama,Tivbetu Central,Tivbetu State,Public,7.444372,10.65135,7.444372,plain,10.65135,plain,ok,,7.444372,10.65135,1.0,1.0,5.0,1.0,2.0,27.1,36.0,both,7.444372,10.65135,mif_consistent_with_register,
HF00146,Okemile Health Post,Health Post,Banrija,Wurmashi ,Kukrima Central,Kukrima State,Public,7.220868,10.195936,7.220868,plain,10.195936,plain,ok,,7.220868,10.195936,1.0,1.0,0.0,1.0,0.0,14.1,45.0,both,7.220868,10.195936,mif_consistent_with_register,
HF01189,Riymaja Primary Health Centre,Primary Health Centre,Nasmitu,YELTILI,Agbkeko North,Agbkeko State,Public,9.889611,8.750201,9.889611,plain,8.750201,plain,ok,,9.889611,8.750201,1.0,1.0,3.0,0.0,0.0,14.1,34.0,both,9.889611,8.750201,mif_consistent_with_register,
HF00872,Adenana Health Post,Health Post,Kukmiyi,Olubani-South,Uzojina South,Uzojina State,Private,8.11253,8.376772,8.11253,plain,8.376772,plain,ok,,8.11253,8.376772,0.0,0.0,2.0,1.0,0.0,6.3,67.0,both,8.11253,8.376772,mif_consistent_with_register,
HF00590,Birtisa Primary Health Centre,Primary Health Centre,Yelzafa,Irongori LGA,Tivbetu Central,Tivbetu State,Public,7.910697,10.762373,7.910697,plain,10.762373,plain,ok,,7.910697,10.762373,1.0,5.0,7.0,0.0,1.0,30.9,27.0,both,7.910697,10.762373,mif_consistent_with_register,
HF01233,Funmima Primary Health Centre,Primary Health Centre,Umuwari,Hanjile,Agbkeko Central,Agbkeko State,Public,9.707219,9.752334,9.707219,plain,9.752334,plain,ok,,9.707219,9.752334,0.0,5.0,6.0,1.0,1.0,25.2,37.0,both,9.707219,9.752334,mif_consistent_with_register,
HF01184,Daideko Primary Health Centre,Primary Health Centre,Oluwaba,Maljiwo,Agbkeko North,Agbkeko State,Public,9.648737,9.487315,9.648737,plain,9.487315,plain,ok,,9.648737,9.487315,0.0,2.0,2.0,0.0,1.0,10.1,40.0,both,9.648737,9.487315,mif_consistent_with_register,
HF00696,Funnuwa Primary Health Centre,Primary Health Centre,Dutrama,Adekowo,Tivbetu South,Tivbetu State,Public,8.457193,11.509368,8.457193,plain,11.509368,plain,ok,,8.457193,11.509368,0.0,7.0,4.0,2.0,1.0,30.5,32.0,both,8.457193,11.509368,mif_consistent_with_register,
HF00078,Wursawo Health Post,Health Post,Fundeyi,Ibabani,Kukrima North,Kukrima State,Public,6.600693,9.210301,6.600693,plain,9.210301,plain,ok,,,,,,,,,,,left_only,6.600693,9.210301,register,
HF00430,Okenuwa Comprehensive Health Centre,Comprehensive Health Centre,Oludude,Oketsifa,Agbzatu South,Agbzatu State,Public,7.978672,8.463104,7.978672,plain,8.463104,plain,ok,,7.978672,8.463104,0.0,0.0,10.0,3.0,0.0,24.0,29.0,both,7.978672,8.463104,mif_consistent_with_register,
HF00232,Irowadu Health Post,Health Post,Hanzami,Enumade-West,Kukrima South,Kukrima State,Public,6.669143,10.501108,6.669143,plain,10.501108,plain,ok,,6.669143,10.501108,0.0,0.0,1.0,1.0,1.0,8.4,60.0,both,6.669143,10.501108,mif_consistent_with_register,
HF00280,Ekengowa Primary Health Centre,Primary Health Centre,Jossafa,Malmaba,Agbzatu North,Agbzatu State,Private,7.661241,8.044617,7.661241,plain,8.044617,plain,ok,,7.661241,8.044617,1.0,4.0,5.0,0.0,2.0,29.6,25.0,both,7.661241,8.044617,mif_consistent_with_register,
HF00607,Malngoma Primary Health Centre,Primary Health Centre,Ekekena,Ironama LGA,Tivbetu Central,Tivbetu State,Public,7.489896,10.816027,7.489896,plain,10.816027,plain,ok,,,,,,,,,,,left_only,7.489896,10.816027,register,
