ward_code,ward_name,lga_code,total_population,population_under5,population_source,pct_pop_any_facility,pct_pop_scored_facility,pct_pop_adequate_facility,pop_any_facility,pop_scored_facility,pop_adequate_facility,lga_name,sen_district,state_name,adequate_share,unscored_share,access_category
W0039,Funngoli,LGA104,24916,4111,Projected 2026 from 2006 census,0.4036045100846573,0.4036045100846573,0.4036045100846573,10056,10056,10056,Uzoluni,Kukrima North,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0040,Yelluna,LGA104,30616,5479,Projected 2026 from 2006 census,0.2043970265693715,0.2043970265693715,0.1689089299317586,6258,6258,5171,Uzoluni,Kukrima North,Kukrima State,0.8263766492436307,0.0,facility_nearby_adequately_staffed
W0046,Banshali,LGA104,18654,3357,Gridded population estimate 2024,0.3352044516227225,0.3352044516227225,0.1518677693497895,6253,6253,2833,Uzoluni,Kukrima North,Kukrima State,0.45306012081462116,0.0,facility_nearby_mixed_adequacy
W0033,Baukeshi,LGA086,8576,1335,Projected 2026 from 2006 census,0.5746365231083687,0.5746365231083687,0.5498648361040757,4928,4928,4716,Riylude-North,Kukrima North,Kukrima State,0.9568915549079685,0.0,facility_nearby_adequately_staffed
W0036,Baulako,LGA086,70555,12960,Projected 2026 from 2006 census,0.4816629844640852,0.4816629844640852,0.362577098889477,33984,33984,25582,Riylude-North,Kukrima North,Kukrima State,0.7527609772482159,0.0,facility_nearby_mixed_adequacy
W0050,Dutmidu,LGA086,17715,2644,Gridded population estimate 2024,0.4692578645995017,0.4692578645995017,0.3473691409901438,8313,8313,6154,Riylude-North,Kukrima North,Kukrima State,0.7402521453457441,0.0,facility_nearby_mixed_adequacy
W0053,Uzobele,LGA086,10511,1676,Gridded population estimate 2024,0.4280406358375564,0.3371704758682707,0.25287118764959,4499,3544,2658,Riylude-North,Kukrima North,Kukrima State,0.5907644426207139,0.21229330199334484,facility_nearby_mixed_adequacy
W0062,Ibarija,LGA086,32661,5130,Projected 2026 from 2006 census,0.4463430011563007,0.4208578394808008,0.1528695341616907,14578,13746,4993,Riylude-North,Kukrima North,Kukrima State,0.34249340477091683,0.057097706493610956,facility_nearby_mixed_adequacy
W0012,Hanmade,LGA051,26381,4620,Gridded population estimate 2024,0.2396783744285009,0.0228541398497851,0.0228541398497851,6323,603,603,Irolufa,Kukrima North,Kukrima State,0.09535336637808672,0.9046466336219132,facility_nearby_assessment_gap
W0015,Tamyowa,LGA051,23194,4157,Projected 2026 from 2006 census,0.787343247247863,0.7496176149947716,0.620440591938293,18262,17387,14390,Irolufa,Kukrima North,Kukrima State,0.7880179249736711,0.04791510232031616,facility_nearby_mixed_adequacy
W0016,Oluwasa,LGA051,41061,6504,Gridded population estimate 2024,0.7585430071956984,0.6973521449623803,0.3482014611768975,31147,28634,14298,Irolufa,Kukrima North,Kukrima State,0.4590398406864017,0.08066894250273059,facility_nearby_mixed_adequacy
W0018,Wurjimi,LGA051,19041,3508,Projected 2026 from 2006 census,0.4337702432730692,0.4337702432730692,0.1756064991561866,8259,8259,3344,Irolufa,Kukrima North,Kukrima State,0.4048375882843534,0.0,facility_nearby_mixed_adequacy
W0022,Gwobedu,LGA051,27132,4123,Gridded population estimate 2024,0.3364430561104248,0.0841468459731949,0.0541840361043205,9128,2283,1470,Irolufa,Kukrima North,Kukrima State,0.1610496490274914,0.7498927546729428,facility_nearby_mixed_adequacy
W0028,Kuknuno,LGA051,19120,3286,Gridded population estimate 2024,0.7182278278353741,0.7182278278353741,0.519752829550007,13733,13733,9938,Irolufa,Kukrima North,Kukrima State,0.7236601109100165,0.0,facility_nearby_mixed_adequacy
W0032,Nasnuri,LGA051,39662,6367,Gridded population estimate 2024,0.3486224903542619,0.3486224903542619,0.2668452101770558,13827,13827,10584,Irolufa,Kukrima North,Kukrima State,0.7654274109105641,0.0,facility_nearby_mixed_adequacy
W0002,Wurshaba,LGA087,78192,14179,Projected 2026 from 2006 census,0.2176189431112198,0.2176189431112198,0.1415864744795556,17016,17016,11071,Shajima,Kukrima North,Kukrima State,0.6506164971456284,0.0,facility_nearby_mixed_adequacy
W0019,Aderita,LGA087,73368,12037,Projected 2026 from 2006 census,0.3754829668846611,0.3147217377468126,0.2772088835606388,27548,23091,20338,Shajima,Kukrima North,Kukrima State,0.7382728592474086,0.1618215325237717,facility_nearby_mixed_adequacy
W0020,Joswaja,LGA087,10614,1831,Gridded population estimate 2024,0.306089682263314,0.306089682263314,0.0637581568383049,3249,3249,677,Shajima,Kukrima North,Kukrima State,0.20829894156137174,0.0,facility_nearby_mixed_adequacy
W0023,Sokdema,LGA087,17448,3131,Projected 2026 from 2006 census,0.5604018150562671,0.5604018150562671,0.5254244583938178,9778,9778,9168,Shajima,Kukrima North,Kukrima State,0.9375852188149366,0.0,facility_nearby_adequately_staffed
W0024,Kadrani,LGA087,17342,3202,Gridded population estimate 2024,0.1264888426294907,0.1264888426294907,0.1136320715800862,2194,2194,1971,Shajima,Kukrima North,Kukrima State,0.8983564812347571,0.0,facility_nearby_adequately_staffed
W0042,Supnami,LGA047,23375,4252,Projected 2026 from 2006 census,0.5369410032083685,0.363722159684469,0.2860879189114426,12551,8502,6687,Ibabani,Kukrima North,Kukrima State,0.5328107132850527,0.3226031211788069,facility_nearby_mixed_adequacy
W0054,Lokngoli,LGA047,9219,1440,Projected 2026 from 2006 census,0.2709988368081765,0.2709988368081765,0.0,2498,2498,0,Ibabani,Kukrima North,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0064,Hantside,LGA047,10724,1649,Projected 2026 from 2006 census,0.2595163672079672,0.2595163672079672,0.2071869381383463,2783,2783,2222,Ibabani,Kukrima North,Kukrima State,0.7983578853518477,0.0,facility_nearby_mixed_adequacy
W0067,Zambeba,LGA047,20011,2987,Gridded population estimate 2024,0.0514235996296159,0.0514235996296159,0.0514235996296159,1029,1029,1029,Ibabani,Kukrima North,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0071,Fundeyi,LGA047,21672,3914,Projected 2026 from 2006 census,0.684171544176715,0.5776275371460218,0.38145052784342,14827,12518,8267,Ibabani,Kukrima North,Kukrima State,0.5575363826369472,0.1557270364976973,facility_nearby_mixed_adequacy
W0001,Ibasashi,LGA034,15636,2291,Projected 2026 from 2006 census,0.5939175170464005,0.5939175170464005,0.3227307387616641,9286,9286,5046,Ekejisa-North,Kukrima North,Kukrima State,0.5433931977063582,0.0,facility_nearby_mixed_adequacy
W0003,Josyole,LGA034,21092,3247,Gridded population estimate 2024,0.2240462297504982,0.2180966235712298,0.0860637472657233,4726,4600,1815,Ekejisa-North,Kukrima North,Kukrima State,0.38413387880512606,0.026555261322156534,facility_nearby_mixed_adequacy
W0004,Lokdushi,LGA034,4841,863,Projected 2026 from 2006 census,0.2650386641457063,0.2650386641457063,0.09813507868667,1283,1283,475,Ekejisa-North,Kukrima North,Kukrima State,0.37026702878610857,0.0,facility_nearby_mixed_adequacy
W0010,Sokjitu,LGA034,15308,2374,Projected 2026 from 2006 census,0.6964439041573118,0.6964439041573118,0.3957970995880448,10661,10661,6059,Ekejisa-North,Kukrima North,Kukrima State,0.568311528359135,0.0,facility_nearby_mixed_adequacy
W0011,Lokngodu,LGA034,36966,6524,Gridded population estimate 2024,0.3319043143646478,0.3319043143646478,0.0867052801656155,12269,12269,3205,Ekejisa-North,Kukrima North,Kukrima State,0.2612357731221187,0.0,facility_nearby_mixed_adequacy
W0014,Maljiba,LGA034,29801,4884,Projected 2026 from 2006 census,0.0973139604062602,0.0973139604062602,0.0973139604062602,2900,2900,2900,Ekejisa-North,Kukrima North,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0151,Ekerini,LGA109,30526,4939,Projected 2026 from 2006 census,0.4231873761109162,0.2037652100508925,0.0,12918,6220,0,Yelkefa,Kukrima Central,Kukrima State,0.0,0.5184988457749122,facility_nearby_assessment_gap
W0169,Adelawa,LGA109,13033,1973,Projected 2026 from 2006 census,0.4236062357235129,0.4236062357235129,0.0,5521,5521,0,Yelkefa,Kukrima Central,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0177,Hanlana,LGA109,45484,7265,Gridded population estimate 2024,0.8873940993491332,0.6621960957530661,0.041360265627498,40362,30119,1881,Yelkefa,Kukrima Central,Kukrima State,0.04660867776541904,0.25377451096557935,facility_nearby_confirmed_inadequate
W0180,Irorawa,LGA109,39550,6156,Projected 2026 from 2006 census,0.1408373724650357,0.1408373724650357,0.0584793502471819,5570,5570,2313,Yelkefa,Kukrima Central,Kukrima State,0.41522608114334136,0.0,facility_nearby_mixed_adequacy
W0181,Baumashi,LGA109,27793,5029,Projected 2026 from 2006 census,0.2467850192423573,0.1419627953768325,0.0,6859,3946,0,Yelkefa,Kukrima Central,Kukrima State,0.0,0.42475116272184754,facility_nearby_confirmed_inadequate
W0193,Gwosani,LGA109,21803,3614,Projected 2026 from 2006 census,0.558317287673887,0.558317287673887,0.1305541205496202,12173,12173,2846,Yelkefa,Kukrima Central,Kukrima State,0.23383499567700444,0.0,facility_nearby_mixed_adequacy
W0196,Naslama,LGA109,12607,2091,Projected 2026 from 2006 census,0.6742384747105515,0.6742384747105515,0.3651300120902682,8500,8500,4603,Yelkefa,Kukrima Central,Kukrima State,0.5415443137489556,0.0,facility_nearby_mixed_adequacy
W0198,Banluma,LGA109,24412,3832,Projected 2026 from 2006 census,0.771196532015253,0.771196532015253,0.2346003387943446,18826,18826,5727,Yelkefa,Kukrima Central,Kukrima State,0.30420305208232523,0.0,facility_nearby_mixed_adequacy
W0069,Katzale,LGA063,18519,3389,Projected 2026 from 2006 census,0.3838938205657074,0.3838938205657074,0.2470427044105835,7109,7109,4575,Lokbaru,Kukrima Central,Kukrima State,0.6435183146385124,0.0,facility_nearby_mixed_adequacy
W0112,Ekebako,LGA063,29711,4602,Projected 2026 from 2006 census,0.3850626523126965,0.3850626523126965,0.0,11441,11441,0,Lokbaru,Kukrima Central,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0113,Supzaja,LGA063,64114,10094,Projected 2026 from 2006 census,0.4689003887744403,0.4689003887744403,0.3069683535758796,30063,30063,19681,Lokbaru,Kukrima Central,Kukrima State,0.654655788147669,0.0,facility_nearby_mixed_adequacy
W0126,Banmashi,LGA063,14494,2109,Projected 2026 from 2006 census,0.6253351077651842,0.6253351077651842,0.0,9064,9064,0,Lokbaru,Kukrima Central,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0117,Eketsino,LGA010,13476,2477,Projected 2026 from 2006 census,0.1800822378540465,0.1800822378540465,0.0194143446507454,2427,2427,262,Agbnumi,Kukrima Central,Kukrima State,0.10780821519155256,0.0,facility_nearby_mixed_adequacy
W0143,Okenami,LGA010,33167,4947,Gridded population estimate 2024,0.2070936159692134,0.2070936159692134,0.0230728243886983,6869,6869,765,Agbnumi,Kukrima Central,Kukrima State,0.11141253331598745,0.0,facility_nearby_mixed_adequacy
W0150,Wurshama,LGA010,32530,4857,Projected 2026 from 2006 census,0.2307956845580432,0.2302963131942847,0.0,7508,7492,0,Agbnumi,Kukrima Central,Kukrima State,0.0,0.0021636945453063976,facility_nearby_confirmed_inadequate
W0066,Zamyoru,LGA005,38033,6227,Gridded population estimate 2024,0.4793439789865883,0.4013685295135872,0.2201953856852743,18231,15265,8375,Agbjide,Kukrima Central,Kukrima State,0.4593682101750885,0.16267117746603177,facility_nearby_mixed_adequacy
W0078,Kadjisa,LGA005,4483,819,Projected 2026 from 2006 census,0.4769962680964281,0.4241090527031047,0.0,2138,1901,0,Agbjide,Kukrima Central,Kukrima State,0.0,0.11087553285140556,facility_nearby_confirmed_inadequate
W0084,Wurdesa,LGA005,47436,8228,Projected 2026 from 2006 census,0.8134471566148169,0.8134471566148169,0.4241524211695615,38587,38587,20120,Agbjide,Kukrima Central,Kukrima State,0.5214259066743605,0.0,facility_nearby_mixed_adequacy
W0088,Kadjina,LGA005,37994,5844,Gridded population estimate 2024,0.4368262012943579,0.4368262012943579,0.2558918406169649,16597,16597,9722,Agbjide,Kukrima Central,Kukrima State,0.5857978295686771,0.0,facility_nearby_mixed_adequacy
W0094,Jostsili,LGA092,18434,2686,Gridded population estimate 2024,0.3219572167840942,0.194908376647336,0.0,5935,3593,0,Tambemi,Kukrima Central,Kukrima State,0.0,0.39461404656742843,facility_nearby_confirmed_inadequate
W0122,Yobtiyi,LGA092,14794,2319,Projected 2026 from 2006 census,0.1356190904343722,0.1356190904343722,0.0182778231100869,2006,2006,270,Tambemi,Kukrima Central,Kukrima State,0.13477323178871908,0.0,facility_nearby_mixed_adequacy
W0127,Gwotidu,LGA092,6917,1250,Gridded population estimate 2024,0.1562254877421561,0.1562254877421561,0.0386793117747013,1081,1081,268,Tambemi,Kukrima Central,Kukrima State,0.24758643633451122,0.0,facility_nearby_mixed_adequacy
W0131,Agbtifa,LGA092,12792,2262,Gridded population estimate 2024,0.3086493599902363,0.3086493599902363,0.0,3948,3948,0,Tambemi,Kukrima Central,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0137,Funtsiwa,LGA092,12133,2240,Projected 2026 from 2006 census,0.3630655175949706,0.3630655175949706,0.3047962339741565,4405,4405,3698,Tambemi,Kukrima Central,Kukrima State,0.8395075246836902,0.0,facility_nearby_adequately_staffed
W0083,Adetidu,LGA041,46928,8295,Projected 2026 from 2006 census,0.4001363980767716,0.2483539107731535,0.0,18778,11655,0,Gwolama,Kukrima Central,Kukrima State,0.0,0.37932686962033524,facility_nearby_confirmed_inadequate
W0096,Malsana,LGA041,44341,6921,Gridded population estimate 2024,0.4377982960166834,0.4377982960166834,0.1430743729821044,19412,19412,6344,Gwolama,Kukrima Central,Kukrima State,0.32680431669988086,0.0,facility_nearby_mixed_adequacy
W0110,Ekeluwa,LGA041,48374,8707,Projected 2026 from 2006 census,0.3200402803192646,0.3200402803192646,0.2328980863976078,15482,15482,11266,Gwolama,Kukrima Central,Kukrima State,0.7277149181511595,0.0,facility_nearby_mixed_adequacy
W0111,Lokngowa,LGA041,41058,6408,Projected 2026 from 2006 census,0.5790606129311454,0.5790606129311454,0.0353352850099574,23775,23775,1451,Gwolama,Kukrima Central,Kukrima State,0.06102173800268302,0.0,facility_nearby_confirmed_inadequate
W0138,Banrija,LGA107,26062,4715,Gridded population estimate 2024,0.7142115212585938,0.7142115212585938,0.2652290303072876,18614,18614,6912,Wurmashi,Kukrima Central,Kukrima State,0.37135921560029894,0.0,facility_nearby_mixed_adequacy
W0139,Katshale,LGA107,36171,5457,Projected 2026 from 2006 census,0.4119744118116127,0.4119744118116127,0.1422344747767853,14902,14902,5145,Wurmashi,Kukrima Central,Kukrima State,0.3452507502864672,0.0,facility_nearby_mixed_adequacy
W0154,Hanluta,LGA107,26302,3842,Projected 2026 from 2006 census,0.7862734555593802,0.7230992729109179,0.3370339297850982,20681,19019,8865,Wurmashi,Kukrima Central,Kukrima State,0.4286472186007112,0.0803463250625931,facility_nearby_mixed_adequacy
W0161,Birwari,LGA107,11243,1678,Projected 2026 from 2006 census,0.946854690299794,0.946854690299794,0.5399750096725109,10645,10645,6071,Wurmashi,Kukrima Central,Kukrima State,0.5702828693825697,0.0,facility_nearby_mixed_adequacy
W0171,Olubewo,LGA107,14745,2499,Gridded population estimate 2024,0.4607243357146215,0.4607243357146215,0.1451305838277204,6793,6793,2140,Wurmashi,Kukrima Central,Kukrima State,0.31500524842607,0.0,facility_nearby_mixed_adequacy
W0176,Katwama,LGA107,10539,1828,Gridded population estimate 2024,0.6689240045978231,0.6689240045978231,0.2615228099258986,7050,7050,2756,Wurmashi,Kukrima Central,Kukrima State,0.3909604202096677,0.0,facility_nearby_mixed_adequacy
W0052,Aderimi,LGA121,38344,6850,Projected 2026 from 2006 census,0.5654947386236998,0.5654947386236998,0.3077034260511581,21683,21683,11799,Zamtsiru,Kukrima South,Kukrima State,0.5441313685783288,0.0,facility_nearby_mixed_adequacy
W0061,Agbsatu,LGA121,10883,1861,Gridded population estimate 2024,0.1064122123532403,0.1064122123532403,0.1064122123532403,1158,1158,1158,Zamtsiru,Kukrima South,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0072,Riysano,LGA121,46190,8511,Projected 2026 from 2006 census,0.2228562956352011,0.2228562956352011,0.2228562956352011,10294,10294,10294,Zamtsiru,Kukrima South,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0098,Lokderi,LGA120,32820,5693,Projected 2026 from 2006 census,0.2372246932111135,0.2372246932111135,0.2004243418240997,7786,7786,6578,Zamnuni-North,Kukrima South,Kukrima State,0.8448713289966655,0.0,facility_nearby_adequately_staffed
W0115,Yobzasa,LGA120,27991,4785,Projected 2026 from 2006 census,0.3904518140464027,0.3904518140464027,0.0594313192400451,10929,10929,1664,Zamnuni-North,Kukrima South,Kukrima State,0.15221166121405716,0.0,facility_nearby_mixed_adequacy
W0124,Riynushi,LGA120,30619,4688,Gridded population estimate 2024,0.2646433006676691,0.2646433006676691,0.1832714992711283,8103,8103,5612,Zamnuni-North,Kukrima South,Kukrima State,0.6925227232609035,0.0,facility_nearby_mixed_adequacy
W0013,Baujina,LGA027,43228,6799,Projected 2026 from 2006 census,0.347788731632312,0.347788731632312,0.1980607059229512,15034,15034,8562,Daizade,Kukrima South,Kukrima State,0.5694856903309456,0.0,facility_nearby_mixed_adequacy
W0035,Baujimi,LGA027,50218,8617,Gridded population estimate 2024,0.4036158717274865,0.4036158717274865,0.2326081174070756,20269,20269,11681,Daizade,Kukrima South,Kukrima State,0.5763106302324207,0.0,facility_nearby_mixed_adequacy
W0044,Supmano,LGA027,36589,6205,Projected 2026 from 2006 census,0.2591308266777966,0.1983441448173983,0.1983441448173983,9481,7257,7257,Daizade,Kukrima South,Kukrima State,0.7654208777870319,0.23457912221296806,facility_nearby_mixed_adequacy
W0045,Dainali,LGA027,24443,4143,Projected 2026 from 2006 census,0.2940507811882695,0.2311448971568753,0.2311448971568753,7187,5650,5650,Daizade,Kukrima South,Kukrima State,0.7860713589088616,0.21392864109113843,facility_nearby_mixed_adequacy
W0048,Kadbemi,LGA027,32555,4893,Projected 2026 from 2006 census,0.1003816569737784,0.0042924375552466,0.0033596321774447,3268,140,109,Daizade,Kukrima South,Kukrima State,0.033468586579740355,0.957238825452265,facility_nearby_assessment_gap
W0056,Okedeni,LGA102,59574,8982,Gridded population estimate 2024,0.9002747613972555,0.9002747613972555,0.7370245553874497,53633,53633,43908,Umumitu,Kukrima South,Kukrima State,0.8186662416744459,0.0,facility_nearby_adequately_staffed
W0057,Bantsiri,LGA102,24269,3710,Projected 2026 from 2006 census,0.1251516897952922,0.1251516897952922,0.1251516897952922,3037,3037,3037,Umumitu,Kukrima South,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0058,Tivsawo,LGA102,22734,3595,Projected 2026 from 2006 census,0.1664691032655854,0.1664691032655854,0.0817319289344922,3785,3785,1858,Umumitu,Kukrima South,Kukrima State,0.49097356404988135,0.0,facility_nearby_mixed_adequacy
W0070,Zamkono,LGA102,18303,2901,Projected 2026 from 2006 census,0.5359554686852964,0.5359554686852964,0.5196646899753762,9810,9810,9511,Umumitu,Kukrima South,Kukrima State,0.9696042308330547,0.0,facility_nearby_adequately_staffed
W0085,Banrana,LGA102,9338,1516,Projected 2026 from 2006 census,0.3632263547763314,0.3632263547763314,0.3422776749634929,3392,3392,3196,Umumitu,Kukrima South,Kukrima State,0.9423261017892317,0.0,facility_nearby_adequately_staffed
W0097,Kukjimi,LGA102,19599,3474,Projected 2026 from 2006 census,0.4359469933483285,0.4359469933483285,0.1776341489719755,8544,8544,3481,Umumitu,Kukrima South,Kukrima State,0.4074673106646317,0.0,facility_nearby_mixed_adequacy
W0080,Ibanana,LGA004,13629,2377,Projected 2026 from 2006 census,0.4732818611998686,0.4375111798853018,0.4375111798853018,6450,5963,5963,Adenaja,Kukrima South,Kukrima State,0.9244199191917463,0.07558008080825372,facility_nearby_adequately_staffed
W0087,Ibabewo,LGA004,18269,3321,Projected 2026 from 2006 census,0.4385959055148123,0.4385959055148123,0.3320181802760406,8013,8013,6066,Adenaja,Kukrima South,Kukrima State,0.7570024619503148,0.0,facility_nearby_mixed_adequacy
W0095,Tamdumi,LGA004,21185,3572,Projected 2026 from 2006 census,0.0808633176781709,0.0808633176781709,0.0808633176781709,1713,1713,1713,Adenaja,Kukrima South,Kukrima State,1.0,0.0,facility_nearby_adequately_staffed
W0107,Ibabeno,LGA004,61801,10010,Projected 2026 from 2006 census,0.4315169845895882,0.4315169845895882,0.0,26668,26668,0,Adenaja,Kukrima South,Kukrima State,0.0,0.0,facility_nearby_confirmed_inadequate
W0116,Tamdule,LGA004,16627,2874,Projected 2026 from 2006 census,0.4061335090537774,0.4061335090537774,0.2718586775479657,6753,6753,4520,Adenaja,Kukrima South,Kukrima State,0.66938253428374,0.0,facility_nearby_mixed_adequacy
W0123,Kuktsino,LGA004,13386,2276,Projected 2026 from 2006 census,0.7167778576220993,0.7167778576220993,0.4478933210419477,9595,9595,5995,Adenaja,Kukrima South,Kukrima State,0.624870475948891,0.0,facility_nearby_mixed_adequacy
W0130,Okenawa,LGA004,13430,2201,Projected 2026 from 2006 census,0.4071054139653521,0.4071054139653521,0.1580501337733536,5467,5467,2123,Adenaja,Kukrima South,Kukrima State,0.3882290147750404,0.0,facility_nearby_mixed_adequacy
W0017,Kadyodu,LGA015,29162,4895,Projected 2026 from 2006 census,0.5717500754231941,0.5717500754231941,0.1477634507823098,16673,16673,4309,Banluta,Kukrima South,Kukrima State,0.25844063190186595,0.0,facility_nearby_mixed_adequacy
W0026,Adenutu,LGA015,28518,4669,Projected 2026 from 2006 census,0.3450048614951903,0.3450048614951903,0.0621560907191961,9839,9839,1773,Banluta,Kukrima South,Kukrima State,0.18016004310728423,0.0,facility_nearby_mixed_adequacy
W0027,Irobade,LGA015,15603,2363,Projected 2026 from 2006 census,0.4166068409764363,0.4166068409764363,0.4123263705301331,6500,6500,6434,Banluta,Kukrima South,Kukrima State,0.9897253956841643,0.0,facility_nearby_adequately_staffed
W0034,Dutkoshi,LGA015,21796,3203,Projected 2026 from 2006 census,0.0718753909271814,0.0718753909271814,0.0035064924331181,1567,1567,76,Banluta,Kukrima South,Kukrima State,0.04878571633329421,0.0,facility_nearby_confirmed_inadequate
W0049,Nastili,LGA035,23744,3918,Projected 2026 from 2006 census,0.6789886057245332,0.6789886057245332,0.4321775518419649,16122,16122,10262,Enumade-West,Kukrima South,Kukrima State,0.6365019209428383,0.0,facility_nearby_mixed_adequacy
W0051,Okederi,LGA035,67931,10620,Projected 2026 from 2006 census,0.3961547953368854,0.3961547953368854,0.1812000131251195,26911,26911,12309,Enumade-West,Kukrima South,Kukrima State,0.4573969954624154,0.0,facility_nearby_mixed_adequacy
W0065,Wurlawo,LGA035,32751,5053,Projected 2026 from 2006 census,0.7768670041604213,0.7768670041604213,0.6741641440126105,25443,25443,22080,Enumade-West,Kukrima South,Kukrima State,0.8677986584604603,0.0,facility_nearby_adequately_staffed
W0068,Hanzami,LGA035,39282,6477,Projected 2026 from 2006 census,0.642087504571229,0.5413710014659494,0.3723188554665969,25222,21266,14625,Enumade-West,Kukrima South,Kukrima State,0.5798568774753259,0.15685790860006799,facility_nearby_mixed_adequacy
W0077,Hanbena,LGA035,31884,5339,Projected 2026 from 2006 census,0.0425181030072149,0.0425181030072149,0.0008798917690743,1356,1356,28,Enumade-West,Kukrima South,Kukrima State,0.02069452084739037,0.0,facility_nearby_confirmed_inadequate
W0081,Umutiri,LGA035,18226,3180,Gridded population estimate 2024,0.4873745801083711,0.4860486230545209,0.3795884573263395,8883,8859,6918,Enumade-West,Kukrima South,Kukrima State,0.7788433636443152,0.0027206118414205252,facility_nearby_mixed_adequacy
W0128,Irodefa,LGA112,196742,32527,Projected 2026 from 2006 census,0.8276638949145863,0.8276638949145863,0.327813429877876,162836,162836,64495,Yobkosa-South,Agbzatu North,Agbzatu State,0.3960707140809928,0.0,facility_nearby_mixed_adequacy
W0134,Zammiwa,LGA112,133322,22069,Projected 2026 from 2006 census,0.5874516604932626,0.4061021199021097,0.2137232685502937,78320,54142,28494,Yobkosa-South,Agbzatu North,Agbzatu State,0.3638142215324368,0.30870546938088494,facility_nearby_mixed_adequacy
W0152,Iroketu,LGA112,47082,7470,Projected 2026 from 2006 census,0.3889338368407337,0.3808767343894859,0.0,18312,17932,0,Yobkosa-South,Agbzatu North,Agbzatu State,0.0,0.02071586909664314,facility_nearby_confirmed_inadequate
W0157,Zamngono,LGA112,53970,9176,Projected 2026 from 2006 census,0.4585339837210195,0.4585339837210195,0.3991478021628099,24747,24747,21542,Yobkosa-South,Agbzatu North,Agbzatu State,0.8704868479402799,0.0,facility_nearby_adequately_staffed
W0185,Ekezali,LGA112,60262,9549,Gridded population estimate 2024,0.5187937382728021,0.5187937382728021,0.2598841974182435,31264,31264,15661,Yobkosa-South,Agbzatu North,Agbzatu State,0.5009393488122368,0.0,facility_nearby_mixed_adequacy
