ward_code,ward_name,lga_code,total_population,population_under5,population_source,pct_pop_any_facility,pct_pop_scored_facility,pct_pop_adequate_facility,pop_any_facility,pop_scored_facility,pop_adequate_facility
W0094,Jostsili,LGA092,18434,2686,Gridded population estimate 2024,0.3219572167840942,0.19490837664733604,0.0,5935,3593,0
W0122,Yobtiyi,LGA092,14794,2319,Projected 2026 from 2006 census,0.1356190904343722,0.1356190904343722,0.018277823110086935,2006,2006,270
W0127,Gwotidu,LGA092,6917,1250,Gridded population estimate 2024,0.1562254877421561,0.1562254877421561,0.03867931177470139,1081,1081,268
W0131,Agbtifa,LGA092,12792,2262,Gridded population estimate 2024,0.3086493599902363,0.3086493599902363,0.0,3948,3948,0
W0137,Funtsiwa,LGA092,12133,2240,Projected 2026 from 2006 census,0.36306551759497063,0.36306551759497063,0.30479623397415656,4405,4405,3698
W0083,Adetidu,LGA041,46928,8295,Projected 2026 from 2006 census,0.40013639807677165,0.24835391077315358,0.0,18778,11655,0
W0096,Malsana,LGA041,44341,6921,Gridded population estimate 2024,0.4377982960166834,0.4377982960166834,0.14307437298210443,19412,19412,6344
W0110,Ekeluwa,LGA041,48374,8707,Projected 2026 from 2006 census,0.3200402803192646,0.3200402803192646,0.2328980863976078,15482,15482,11266
W0111,Lokngowa,LGA041,41058,6408,Projected 2026 from 2006 census,0.5790606129311454,0.5790606129311454,0.03533528500995746,23775,23775,1451
W0138,Banrija,LGA107,26062,4715,Gridded population estimate 2024,0.7142115212585938,0.7142115212585938,0.26522903030728767,18614,18614,6912
W0139,Katshale,LGA107,36171,5457,Projected 2026 from 2006 census,0.4119744118116127,0.4119744118116127,0.14223447477678536,14902,14902,5145
W0154,Hanluta,LGA107,26302,3842,Projected 2026 from 2006 census,0.7862734555593802,0.7230992729109179,0.3370339297850982,20681,19019,8865
W0161,Birwari,LGA107,11243,1678,Projected 2026 from 2006 census,0.9468546902997941,0.9468546902997941,0.5399750096725109,10645,10645,6071
W0171,Olubewo,LGA107,14745,2499,Gridded population estimate 2024,0.4607243357146215,0.4607243357146215,0.14513058382772043,6793,6793,2140
W0176,Katwama,LGA107,10539,1828,Gridded population estimate 2024,0.6689240045978231,0.6689240045978231,0.2615228099258986,7050,7050,2756
W0052,Aderimi,LGA121,38344,6850,Projected 2026 from 2006 census,0.5654947386236998,0.5654947386236998,0.30770342605115814,21683,21683,11799
W0061,Agbsatu,LGA121,10883,1861,Gridded population estimate 2024,0.10641221235324033,0.10641221235324033,0.10641221235324033,1158,1158,1158
W0072,Riysano,LGA121,46190,8511,Projected 2026 from 2006 census,0.2228562956352011,0.2228562956352011,0.2228562956352011,10294,10294,10294
W0098,Lokderi,LGA120,32820,5693,Projected 2026 from 2006 census,0.23722469321111356,0.23722469321111359,0.20042434182409974,7786,7786,6578
W0115,Yobzasa,LGA120,27991,4785,Projected 2026 from 2006 census,0.3904518140464027,0.3904518140464027,0.05943131924004519,10929,10929,1664
W0124,Riynushi,LGA120,30619,4688,Gridded population estimate 2024,0.2646433006676691,0.2646433006676691,0.18327149927112835,8103,8103,5612
W0013,Baujina,LGA027,43228,6799,Projected 2026 from 2006 census,0.347788731632312,0.347788731632312,0.19806070592295127,15034,15034,8562
W0035,Baujimi,LGA027,50218,8617,Gridded population estimate 2024,0.40361587172748653,0.4036158717274865,0.2326081174070756,20269,20269,11681
W0044,Supmano,LGA027,36589,6205,Projected 2026 from 2006 census,0.2591308266777966,0.1983441448173983,0.1983441448173983,9481,7257,7257
W0045,Dainali,LGA027,24443,4143,Projected 2026 from 2006 census,0.29405078118826955,0.23114489715687536,0.23114489715687536,7187,5650,5650
W0048,Kadbemi,LGA027,32555,4893,Projected 2026 from 2006 census,0.10038165697377842,0.004292437555246624,0.003359632177444737,3268,140,109
W0056,Okedeni,LGA102,59574,8982,Gridded population estimate 2024,0.9002747613972555,0.9002747613972555,0.7370245553874497,53633,53633,43908
W0057,Bantsiri,LGA102,24269,3710,Projected 2026 from 2006 census,0.12515168979529226,0.12515168979529226,0.12515168979529226,3037,3037,3037
W0058,Tivsawo,LGA102,22734,3595,Projected 2026 from 2006 census,0.1664691032655854,0.1664691032655854,0.08173192893449224,3785,3785,1858
W0070,Zamkono,LGA102,18303,2901,Projected 2026 from 2006 census,0.5359554686852964,0.5359554686852964,0.5196646899753762,9810,9810,9511
W0085,Banrana,LGA102,9338,1516,Projected 2026 from 2006 census,0.3632263547763314,0.3632263547763314,0.34227767496349293,3392,3392,3196
W0097,Kukjimi,LGA102,19599,3474,Projected 2026 from 2006 census,0.4359469933483285,0.4359469933483285,0.17763414897197558,8544,8544,3481
W0080,Ibanana,LGA004,13629,2377,Projected 2026 from 2006 census,0.4732818611998686,0.43751117988530186,0.43751117988530186,6450,5963,5963
W0087,Ibabewo,LGA004,18269,3321,Projected 2026 from 2006 census,0.4385959055148123,0.4385959055148123,0.3320181802760406,8013,8013,6066
W0095,Tamdumi,LGA004,21185,3572,Projected 2026 from 2006 census,0.08086331767817093,0.08086331767817093,0.08086331767817093,1713,1713,1713
W0107,Ibabeno,LGA004,61801,10010,Projected 2026 from 2006 census,0.43151698458958826,0.43151698458958826,0.0,26668,26668,0
W0116,Tamdule,LGA004,16627,2874,Projected 2026 from 2006 census,0.4061335090537774,0.4061335090537774,0.2718586775479657,6753,6753,4520
W0123,Kuktsino,LGA004,13386,2276,Projected 2026 from 2006 census,0.7167778576220993,0.7167778576220993,0.44789332104194773,9595,9595,5995
W0130,Okenawa,LGA004,13430,2201,Projected 2026 from 2006 census,0.4071054139653521,0.4071054139653521,0.1580501337733536,5467,5467,2123
W0017,Kadyodu,LGA015,29162,4895,Projected 2026 from 2006 census,0.5717500754231941,0.5717500754231941,0.14776345078230982,16673,16673,4309
W0026,Adenutu,LGA015,28518,4669,Projected 2026 from 2006 census,0.34500486149519033,0.34500486149519033,0.06215609071919618,9839,9839,1773
W0027,Irobade,LGA015,15603,2363,Projected 2026 from 2006 census,0.41660684097643635,0.41660684097643635,0.4123263705301331,6500,6500,6434
W0034,Dutkoshi,LGA015,21796,3203,Projected 2026 from 2006 census,0.0718753909271814,0.0718753909271814,0.0035064924331181468,1567,1567,76
W0049,Nastili,LGA035,23744,3918,Projected 2026 from 2006 census,0.6789886057245332,0.6789886057245332,0.43217755184196494,16122,16122,10262
W0051,Okederi,LGA035,67931,10620,Projected 2026 from 2006 census,0.3961547953368854,0.3961547953368854,0.18120001312511952,26911,26911,12309
W0065,Wurlawo,LGA035,32751,5053,Projected 2026 from 2006 census,0.7768670041604213,0.7768670041604213,0.6741641440126105,25443,25443,22080
W0068,Hanzami,LGA035,39282,6477,Projected 2026 from 2006 census,0.642087504571229,0.5413710014659494,0.3723188554665969,25222,21266,14625
W0077,Hanbena,LGA035,31884,5339,Projected 2026 from 2006 census,0.04251810300721491,0.04251810300721491,0.0008798917690743371,1356,1356,28
W0081,Umutiri,LGA035,18226,3180,Gridded population estimate 2024,0.4873745801083711,0.48604862305452096,0.37958845732633956,8883,8859,6918
W0128,Irodefa,LGA112,196742,32527,Projected 2026 from 2006 census,0.8276638949145863,0.8276638949145863,0.327813429877876,162836,162836,64495
W0134,Zammiwa,LGA112,133322,22069,Projected 2026 from 2006 census,0.5874516604932626,0.40610211990210976,0.2137232685502937,78320,54142,28494
W0152,Iroketu,LGA112,47082,7470,Projected 2026 from 2006 census,0.3889338368407337,0.38087673438948594,0.0,18312,17932,0
W0157,Zamngono,LGA112,53970,9176,Projected 2026 from 2006 census,0.45853398372101956,0.45853398372101956,0.3991478021628099,24747,24747,21542
W0185,Ekezali,LGA112,60262,9549,Gridded population estimate 2024,0.5187937382728021,0.5187937382728021,0.25988419741824353,31264,31264,15661
W0239,Daizaru,LGA008,45948,7423,Gridded population estimate 2024,0.5301869837451331,0.5295121021841386,0.058001526396245305,24361,24330,2665
W0257,Kadbetu,LGA008,43337,6303,Projected 2026 from 2006 census,0.6783615800677685,0.5906257476801839,0.36593494577967084,29398,25596,15859
W0258,Agbratu,LGA008,54474,8358,Projected 2026 from 2006 census,0.617872493667364,0.6140136082306162,0.15441765895259138,33658,33448,8412
W0261,Uzowana,LGA008,133916,23796,Gridded population estimate 2024,0.3048570765697278,0.2691337874606853,0.10019893109637133,40825,36041,13418
W0275,Tivlawa,LGA008,15316,2809,Projected 2026 from 2006 census,0.310252688562226,0.310252688562226,0.054074834000879965,4752,4752,828
W0280,Gwoyota,LGA008,48785,8597,Projected 2026 from 2006 census,0.6225929128462653,0.5441876619083352,0.23303440246130117,30373,26548,11369
W0282,Enunayi,LGA008,98702,17568,Gridded population estimate 2024,0.29210488278769764,0.27660574162578827,0.11066255406385968,28831,27302,10923
W0295,Dainani,LGA008,44974,6717,Projected 2026 from 2006 census,0.4898817268350429,0.2997386649264763,0.06683986806610426,22032,13480,3006
W0189,Katlano,LGA070,209177,30640,Gridded population estimate 2024,0.7722500361491373,0.7722500361491373,0.5025586084858519,161537,161537,105124
W0208,Kukyoba,LGA070,71525,12802,Projected 2026 from 2006 census,0.26751727758959076,0.26751727758959076,0.17267011401222918,19134,19134,12350
W0212,Wurngowo,LGA070,115247,16782,Projected 2026 from 2006 census,0.44598252532031823,0.44598252532031823,0.2697631323578881,51398,51398,31089
W0216,Jossafa,LGA070,95712,17461,Gridded population estimate 2024,0.5431967670220385,0.5431967670220385,0.46385129653492874,51990,51990,44396
W0240,Daiyole,LGA070,88866,15662,Gridded population estimate 2024,0.3094110759921266,0.27118886675485543,0.26134861066858367,27496,24099,23225
W0184,Riysafa,LGA091,145691,26731,Gridded population estimate 2024,0.5385285584640079,0.32894807949366556,0.0,78459,47925,0
W0247,Daisale,LGA091,54735,9229,Projected 2026 from 2006 census,0.6672128757544677,0.5983739284601026,0.05049373432077661,36520,32752,2764
W0249,Suplali,LGA091,63555,11655,Gridded population estimate 2024,0.4169897451481415,0.38636413909863265,0.16762258822214898,26502,24555,10653
W0259,Adejisa,LGA091,122654,20400,Gridded population estimate 2024,0.6517608944649105,0.6517608944649105,0.5796231232451583,79941,79941,71093
W0164,Loknuri,LGA044,109076,19063,Gridded population estimate 2024,0.3655721141320939,0.3655721141320939,0.23768397371974362,39875,39875,25926
W0170,Dutkota,LGA044,45234,6919,Gridded population estimate 2024,0.6229179099510214,0.6229179099510214,0.22058107310594952,28177,28177,9978
W0187,Kuktsini,LGA044,159257,27738,Gridded population estimate 2024,0.13861771744003543,0.13861771744003543,0.11281719394083685,22076,22076,17967
W0197,Tivjija,LGA044,70065,10763,Projected 2026 from 2006 census,0.5084276098616368,0.5084276098616368,0.271823901001511,35623,35623,19045
W0191,Riyriru,LGA056,43656,6349,Projected 2026 from 2006 census,0.49736032055504664,0.49736032055504664,0.07468783814700436,21713,21713,3261
W0214,Gwonade,LGA056,322123,55173,Projected 2026 from 2006 census,0.6342288664379351,0.5690567203855522,0.18494597222957232,204300,183306,59575
W0225,Sokshayi,LGA056,280263,41460,Gridded population estimate 2024,0.41743742582243604,0.41743742582243604,0.0,116992,116992,0
W0246,Tivbedu,LGA056,14461,2586,Projected 2026 from 2006 census,0.20984791255314666,0.20984791255314666,0.011311494894489989,3035,3035,164
W0243,Joskoko,LGA039,29574,4486,Gridded population estimate 2024,0.523391285825319,0.523391285825319,0.06758880844838143,15479,15479,1999
W0265,Josbesa,LGA039,79003,13541,Projected 2026 from 2006 census,0.5411347047006803,0.5411347047006803,0.00012246152180233813,42751,42751,10
W0266,Okeshali,LGA039,39626,6456,Gridded population estimate 2024,0.6115757458259297,0.6115757458259297,0.32640163914075043,24234,24234,12934
W0281,Tamngoba,LGA039,37386,6750,Gridded population estimate 2024,0.6480968602044339,0.6480968602044339,0.35769809577040007,24230,24230,13373
W0283,Ekelusa,LGA039,31819,5804,Projected 2026 from 2006 census,0.435778916025634,0.4357789160256339,0.08674189225631102,13866,13866,2760
W0293,Olukoyi,LGA039,55159,10162,Projected 2026 from 2006 census,0.38243768299690045,0.38243768299690045,0.1772786635633281,21095,21095,9779
W0303,Daidushi,LGA039,50472,8119,Projected 2026 from 2006 census,0.6469051631943658,0.6469051631943658,0.4199134480885861,32651,32651,21194
W0310,Umubeli,LGA039,145272,24374,Projected 2026 from 2006 census,0.8262303563356839,0.8262303563356839,0.24550958002667264,120028,120028,35666
W0090,Bannayi,LGA118,19538,3614,Gridded population estimate 2024,0.7686531557596191,0.7686531557596191,0.4514468979175052,15018,15018,8820
W0099,Dutmili,LGA118,27064,4746,Gridded population estimate 2024,0.8348808875189034,0.8348808875189034,0.6650663375707414,22595,22595,17999
W0100,Umuwata,LGA118,9017,1520,Gridded population estimate 2024,0.47457537966518615,0.47457537966518615,0.382498194095828,4279,4279,3449
W0105,Uzoriyi,LGA118,23926,4111,Projected 2026 from 2006 census,0.3697430233339415,0.3627081192638995,0.15056294899039807,8846,8678,3602
W0108,Shabeli,LGA118,24409,3931,Projected 2026 from 2006 census,0.20847670441402283,0.20847670441402283,0.14978201092861837,5089,5089,3656
W0037,Ngeride,LGA055,20863,3348,Projected 2026 from 2006 census,0.31431662587374404,0.31110395380130657,0.12216751850611289,6558,6491,2549
W0073,Funzako,LGA055,7985,1360,Projected 2026 from 2006 census,0.5962158057549003,0.40934469900748144,0.40934469900748144,4761,3269,3269
W0074,Mallufa,LGA055,20101,3609,Projected 2026 from 2006 census,0.3541790381683916,0.32908666397145236,0.32908666397145236,7119,6615,6615
W0082,Yobkosa,LGA055,8548,1534,Gridded population estimate 2024,0.20715001390943402,0.12252600264870239,0.12252600264870239,1771,1047,1047
W0086,Maltsini,LGA055,6440,1032,Projected 2026 from 2006 census,0.15318288436598693,0.07875609033655794,0.0,986,507,0
W0101,Dairimi,LGA055,23866,3936,Projected 2026 from 2006 census,0.11227784967156157,0.05520794662587177,0.0,2680,1318,0
W0043,Tivlana,LGA064,49189,8230,Projected 2026 from 2006 census,0.36433006429078535,0.3359698831747371,0.29286254637178644,17921,16526,14406
W0063,Josmasa,LGA064,12840,2206,Gridded population estimate 2024,0.2648675963344421,0.10197428607983124,0.011350521828602819,3401,1309,146
W0075,Okewako,LGA064,14993,2299,Projected 2026 from 2006 census,0.6235682493101309,0.6105088486540438,0.0,9349,9153,0
W0076,Sharama,LGA064,16099,2706,Projected 2026 from 2006 census,0.38109134852839693,0.30974234633381365,0.0,6135,4987,0
W0079,Uzotishi,LGA064,82183,14985,Gridded population estimate 2024,0.7484174487390235,0.6874582209127891,0.3137506546264239,61507,56497,25785
W0092,Gwomali,LGA031,50260,7901,Gridded population estimate 2024,0.24566669444316125,0.24528409171856835,0.0,12347,12328,0
W0093,Sharashi,LGA031,28647,4314,Projected 2026 from 2006 census,0.3652467636022545,0.3652467636022545,0.15168446655101922,10463,10463,4345
W0102,Soktiri,LGA031,35762,5287,Gridded population estimate 2024,0.30865995828561504,0.20775916501097139,0.1064166674581376,11038,7430,3806
W0114,Baulutu,LGA031,78092,11587,Gridded population estimate 2024,0.464519059351699,0.44942290520094114,0.24233949387282583,36275,35096,18925
W0103,Kadjino,LGA037,18151,3167,Gridded population estimate 2024,0.5691069631129317,0.5078676390823907,0.4014536281206341,10330,9218,7287
W0135,Birnushi,LGA037,25287,3918,Projected 2026 from 2006 census,0.547428800716701,0.547428800716701,0.4121326747642728,13843,13843,10422
W0136,Oluketa,LGA037,23296,4163,Projected 2026 from 2006 census,0.42121083824571937,0.42121083824571937,0.2029385639296113,9813,9813,4728
W0155,Fundudu,LGA037,13983,2234,Projected 2026 from 2006 census,0.2124521916521201,0.2124521916521201,0.21038725698205155,2971,2971,2942
W0156,Kuktidu,LGA037,14559,2144,Gridded population estimate 2024,0.3546609511686363,0.3546609511686363,0.10626350670045133,5164,5164,1547
W0089,Naslayi,LGA062,12625,1858,Gridded population estimate 2024,0.3823644571877928,0.24129957741546357,0.14344535605176484,4827,3046,1811
W0104,Irotsifa,LGA062,12906,2081,Projected 2026 from 2006 census,0.2890534149193163,0.2890534149193163,0.09498692397595655,3731,3731,1226
W0109,Ekemari,LGA062,15014,2544,Projected 2026 from 2006 census,0.1339407705282548,0.1339407705282548,0.08119047053873467,2011,2011,1219
W0121,Maldefa,LGA062,39423,7093,Projected 2026 from 2006 census,0.3044075039218075,0.3044075039218075,0.3033319972641566,12001,12001,11958
W0009,Gwobele,LGA090,22295,4039,Gridded population estimate 2024,0.0,0.0,0.0,0,0,0
W0038,Zammasa,LGA090,11000,1920,Projected 2026 from 2006 census,0.5089521564146791,0.2531920678473221,0.12060199132198858,5598,2785,1327
W0047,Kuktsija,LGA090,25296,4603,Projected 2026 from 2006 census,0.2064259400431121,0.2064259400431121,0.11825349547907117,5222,5222,2991
W0055,Tivjidu,LGA090,19187,2852,Gridded population estimate 2024,0.3088942329940507,0.3088942329940507,0.0,5927,5927,0
W0059,Malrama,LGA090,30305,5341,Gridded population estimate 2024,0.2957178007088834,0.20856712174581984,0.026856304483805073,8962,6321,814
W0060,Tammari,LGA090,14036,2490,Projected 2026 from 2006 census,0.14053584838084407,0.09254140593025291,0.09254140593025291,1973,1299,1299
W0141,Zamlani,LGA052,57075,8559,Gridded population estimate 2024,0.6080673125587073,0.6080673125587073,0.1035923300150134,34705,34705,5913
W0142,Ngengoyi,LGA052,33913,5390,Gridded population estimate 2024,0.20074645889247128,0.20074645889247128,0.16327585321613128,6808,6808,5537
W0147,Adenuru,LGA052,12873,2145,Projected 2026 from 2006 census,0.6157315003471373,0.6157315003471373,0.26060477971169144,7926,7926,3355
W0158,Tivzaba,LGA052,27855,4068,Projected 2026 from 2006 census,0.0933084419443419,0.0933084419443419,0.06255293590419257,2599,2599,1742
W0223,Lokngoko,LGA081,17616,2961,Gridded population estimate 2024,0.4180661461710248,0.4180661461710248,0.2218586701924037,7365,7365,3908
W0224,Uzoluwo,LGA081,19272,2941,Projected 2026 from 2006 census,0.011094218347813127,0.011094218347813127,0.011094218347813127,214,214,214
W0236,Nasyowa,LGA081,15838,2924,Projected 2026 from 2006 census,0.17312053119068216,0.17312053119068216,0.1655992497425274,2742,2742,2623
W0256,Kadmaja,LGA081,27456,4236,Projected 2026 from 2006 census,0.5124436947659866,0.5069609445823046,0.360461227897179,14070,13919,9897
W0264,Wurnude,LGA081,52061,8286,Gridded population estimate 2024,0.16029778573260317,0.13006801787445046,0.13006801787445046,8345,6771,6771
W0267,Okekede,LGA081,18762,3202,Projected 2026 from 2006 census,0.6934893982875862,0.6934893982875862,0.1959242245598656,13011,13011,3676
W0271,Oludude,LGA081,9005,1362,Projected 2026 from 2006 census,0.6923513292182866,0.6634262341318636,0.3162392175641776,6235,5974,2848
W0119,Joszayi,LGA019,72302,11359,Projected 2026 from 2006 census,0.45326628549015835,0.45326628549015835,0.36208773529932825,32772,32772,26180
W0125,Daishani,LGA019,9610,1633,Gridded population estimate 2024,0.07450348922149383,0.07450348922149383,0.0,716,716,0
W0129,Ibashadu,LGA019,7693,1266,Projected 2026 from 2006 census,0.26824417456602917,0.26824417456602917,0.0,2064,2064,0
W0167,Ekewafa,LGA009,44270,6729,Projected 2026 from 2006 census,0.25803676770145934,0.25803676770145934,0.25803676770145934,11423,11423,11423
W0178,Daijiwa,LGA009,10786,1957,Projected 2026 from 2006 census,0.40827907759488113,0.40827907759488113,0.35326530097177483,4404,4404,3810
W0194,Enurita,LGA009,14421,2192,Gridded population estimate 2024,0.6772335506216061,0.6772335506216061,0.44453626606673313,9766,9766,6411
